Service Name	Startup	Permission
ActiveX Installer (AxInstSV)	Not Defined	Not Defined
Agent Activation Runtime_4dcd353	Not Defined	Not Defined
AllJoyn Router Service	Not Defined	Not Defined
App Readiness	Not Defined	Not Defined
Application Identity	Not Defined	Not Defined
Application Information	Not Defined	Not Defined
Application Layer Gateway Service	Not Defined	Not Defined
Application Management	Not Defined	Not Defined
AppX Deployment Service (AppXSVC)	Not Defined	Not Defined
AssignedAccessManager Service	Not Defined	Not Defined
Auto Time Zone Updater	Not Defined	Not Defined
AVCTP service	Not Defined	Not Defined
Background Intelligent Transfer Service	Not Defined	Not Defined
Background Tasks Infrastructure Service	Not Defined	Not Defined
Base Filtering Engine	Not Defined	Not Defined
BitLocker Drive Encryption Service	Not Defined	Not Defined
Block Level Backup Engine Service	Not Defined	Not Defined
Bluetooth Audio Gateway Service	Disabled	Not Defined
Bluetooth Support Service	Disabled	Not Defined
Bluetooth User Support Service_4dcd353	Not Defined	Not Defined
BranchCache	Not Defined	Not Defined
Capability Access Manager Service	Not Defined	Not Defined
CaptureService_4dcd353	Not Defined	Not Defined
Cellular Time	Not Defined	Not Defined
Certificate Propagation	Not Defined	Not Defined
Client License Service (ClipSVC)	Not Defined	Not Defined
Clipboard User Service_4dcd353	Not Defined	Not Defined
CNG Key Isolation	Not Defined	Not Defined
COM+ Event System	Not Defined	Not Defined
COM+ System Application	Not Defined	Not Defined
ConfigMgr Task Sequence Agent	Not Defined	Not Defined
Configuration Manager Remote Control	Not Defined	Not Defined
Connected Devices Platform Service	Not Defined	Not Defined
Connected Devices Platform User Service_4dcd353	Not Defined	Not Defined
Connected User Experiences and Telemetry	Not Defined	Not Defined
ConsentUX_4dcd353	Not Defined	Not Defined
Contact Data_4dcd353	Not Defined	Not Defined
CoreMessaging	Not Defined	Not Defined
Credential Manager	Not Defined	Not Defined
CredentialEnrollmentManagerUserSvc_4dcd353	Not Defined	Not Defined
Cryptographic Services	Not Defined	Not Defined
Data Sharing Service	Not Defined	Not Defined
Data Usage	Not Defined	Not Defined
DCOM Server Process Launcher	Not Defined	Not Defined
Delivery Optimization	Not Defined	Not Defined
Device Association Service	Not Defined	Not Defined
Device Install Service	Not Defined	Not Defined
Device Management Enrollment Service	Not Defined	Not Defined
Device Management Wireless Application Protocol (WAP) Push message Routing Service	Not Defined	Not Defined
Device Setup Manager	Not Defined	Not Defined
DeviceAssociationBroker_4dcd353	Not Defined	Not Defined
DevicePicker_4dcd353	Not Defined	Not Defined
DevicesFlow_4dcd353	Not Defined	Not Defined
DevQuery Background Discovery Broker	Not Defined	Not Defined
DHCP Client	Not Defined	Not Defined
Diagnostic Execution Service	Not Defined	Not Defined
Diagnostic Policy Service	Not Defined	Not Defined
Diagnostic Service Host	Not Defined	Not Defined
Diagnostic System Host	Not Defined	Not Defined
Display Enhancement Service	Not Defined	Not Defined
Display Policy Service	Not Defined	Not Defined
Distributed Link Tracking Client	Not Defined	Not Defined
Distributed Transaction Coordinator	Not Defined	Not Defined
DNS Client	Not Defined	Not Defined
Downloaded Maps Manager	Disabled	Not Defined
Embedded Mode	Not Defined	Not Defined
Encrypting File System (EFS)	Not Defined	Not Defined
Enterprise App Management Service	Not Defined	Not Defined
Extensible Authentication Protocol	Not Defined	Not Defined
Fax	Not Defined	Not Defined
File History Service	Not Defined	Not Defined
FortiClient Service Scheduler	Not Defined	Not Defined
Function Discovery Provider Host	Not Defined	Not Defined
Function Discovery Resource Publication	Not Defined	Not Defined
GameDVR and Broadcast User Service_4dcd353	Not Defined	Not Defined
Geolocation Service	Disabled	Not Defined
Google Chrome Elevation Service	Not Defined	Not Defined
Google Update Service (gupdate)	Not Defined	Not Defined
Google Update Service (gupdatem)	Not Defined	Not Defined
GraphicsPerfSvc	Not Defined	Not Defined
Group Policy Client	Not Defined	Not Defined
Human Interface Device Service	Not Defined	Not Defined
HV Host Service	Not Defined	Not Defined
Hyper-V Data Exchange Service	Not Defined	Not Defined
Hyper-V Guest Service Interface	Not Defined	Not Defined
